site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Zwieselalm G...,Austria,178.58 km,Aug Jun Jul May Mar,369,0,1,15,160,Aug:4 Mar:3 Jun:3 Jul:3 May:2 Sep:1 Feb:1 Oct:1 Jan:0 Apr:0 Nov:0 Dec:0,20,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.47962%2047.54265&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.47962,47.54265
Bazora,Austria,52.62 km,Jun May Jul Aug,363,0,0,1,22,Jul:4 Aug:4 Jun:3 May:3 Mar:2 Sep:1 Apr:1 Oct:0 Dec:0 Nov:0 Feb:0 Jan:0,24,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.62515%2047.18905&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.62515,47.18905
Schafberg,Austria,102.02 km,May Sep Aug Jun Oct Apr Jul Nov Dec Feb,362,0,1,3,37,Sep:3 Aug:3 Oct:3 Nov:3 Jul:2 May:1 Dec:1 Jun:1 Apr:0 Jan:0 Mar:0 Feb:0,21,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.43225%2047.77645&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.43225,47.77645
Grubigstein,Austria,137.1 km,Jun Oct Sep Aug Apr May Jul Mar,326,0,7,18,84,Jun:2 Jul:2 Sep:1 Aug:1 Oct:1 Apr:1 May:0 Feb:0 Mar:0 Jan:0 Nov:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.84707%2047.382&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.84707,47.382
Lawinenstein,Austria,142.33 km,Mar Jul Apr,326,0,3,28,95,Mar:4 Feb:2 Jul:2 Apr:2 Jun:2 Jan:1 Aug:1 Dec:1 May:1 Oct:1 Sep:1 Nov:0,19,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.95383%2047.5979&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.95383,47.5979
Aflenzer Bü...,Austria,86.19 km,Jul Mar Jun May Aug Sep Oct,323,0,0,15,67,Oct:2 Sep:1 Jun:1 Aug:1 Mar:1 Jan:1 Jul:0 May:0 Feb:0 Apr:0 Nov:0 Dec:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.22423%2047.57778&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.22423,47.57778
Madereck,Austria,139.44 km,Apr Jul May Mar Jun Aug,310,0,8,42,82,Jul:2 Apr:2 Mar:2 Aug:1 Jun:1 May:1 Feb:1 Sep:1 Jan:1 Oct:1 Dec:0 Nov:0,15,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.22818%2047.42175&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.22818,47.42175
Hahnenkamm,Austria,191.29 km,Apr Jul Jun Aug May Sep,306,0,14,52,126,Aug:5 Jul:3 Jun:2 Apr:2 Sep:1 Mar:1 Oct:0 May:0 Feb:0,18,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.37147%2047.4274&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.37147,47.4274
Hartkaiser,Austria,171.69 km,Jul Jun,294,0,2,80,147,May:2 Jul:1 Jun:1 Aug:1 Sep:0 Apr:0 Oct:0 Mar:0 Dec:0 Feb:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.272633%2047.49415&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.272633,47.49415
Hartkaiser-E...,Austria,49.88 km,Sep,294,0,2,80,147,May:2 Jun:1 Jul:1 Aug:1 Sep:0 Apr:0 Oct:0 Mar:0 Dec:0 Feb:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.2772%2047.4914&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.2772,47.4914
Hochötz,Austria,245.14 km,Aug Jul Jun Mar,293,2,6,28,85,Jul:3 Mar:2 Sep:2 Jun:2 Apr:2 Aug:1 Feb:1 Jan:0 Oct:0,14,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.9319%2047.2069&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.9319,47.2069
Koralpe,Austria,51.11 km,Jul Aug May Oct Jun Sep Dec Jan Mar Apr Feb Nov,290,0,0,1,33,Aug:2 Dec:2 Jul:2 Oct:1 Nov:1 Sep:1 Jan:1 May:0 Feb:0 Jun:0 Mar:0 Apr:0,15,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.9509%2046.7934&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.9509,46.7934
Trattberg,Austria,216.01 km,May Jun,284,1,98,150,208,May:2 Nov:1 Jun:1 Oct:1 Sep:0 Apr:0 Mar:0 Dec:0 Feb:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.26917%2047.63688&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.26917,47.63688
Planai,Austria,161.04 km,Jul Jun Aug,276,0,1,9,41,Aug:5 Jul:3 Jun:1 Sep:1 Mar:0 Oct:0 May:0 Jan:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.72497%2047.37237&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.72497,47.37237
Petzen,Austria,139.23 km,Jul Aug,257,0,3,31,135,Jul:3 Aug:2 Jun:1 May:0 Jan:0 Sep:0 Mar:0 Feb:0 Oct:0 Dec:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.7721%2046.51857&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.7721,46.51857
Hahnenkamm (...,Austria,131.41 km,Jun Jul Apr Aug May Sep,250,0,6,38,85,Apr:0 Mar:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.6656%2047.4763&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.6656,47.4763
Messnerin,Austria,113.96 km,Jul Aug Jun Sep May Apr Oct Nov Mar,248,0,3,13,37,Aug:2 Jun:2 Oct:1 Sep:1 Jul:1 Dec:1 Nov:1 May:1 Apr:0 Mar:0 Jan:0 Feb:0,14,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.08388%2047.55608&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.08388,47.55608
Goldried,Austria,159.25 km,Mar Feb Apr Jan,233,0,3,33,105,Mar:2 Jan:2 Feb:1 Apr:1 Dec:0 Aug:0 Jul:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.56947%2046.98422&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.56947,46.98422
