site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Cuges Les Pins,France,22.37 km,Apr May Mar Jun,13,0,0,0,1,Apr:0 May:0 Jun:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.6929%2043.28245&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.6929,43.28245
Col du Galibier,France,316.69 km,Jul,13,10,13,13,13,Jul:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.42085%2045.08695&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.42085,45.08695
Gache,France,76.61 km,Jun Jul Aug May Mar Feb Sep,13,0,0,2,6,Mar:0 Sep:0 Aug:0 Jun:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.979%2044.2247&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.979,44.2247
Alpe d'Huez,France,69.91 km,Mar Apr Jun Jul Sep Dec Feb May,12,0,0,1,3,Mar:0 Jun:0 May:0 Feb:0 Sep:0 Dec:0 Jul:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.0603%2045.101233&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.0603,45.101233
Ribiers,France,85.9 km,Jul Sep May Jun Apr Feb,12,0,0,8,12,Jun:0 May:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.78478%2044.20962&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.78478,44.20962
Saint Andre ...,France,38.33 km,Sep,12,0,0,2,6,Oct:0 Sep:0 Feb:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.45907%2044.0472&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.45907,44.0472
Tourrettes-s...,France,105.75 km,May Jul Jun Oct,11,0,1,1,2,Oct:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.048767%2043.7389&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.048767,43.7389
Aureille,France,245.94 km,Jun May Mar Apr Sep Jul Feb,11,2,4,8,9,Mar:0 Jun:0 May:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.645917%2044.562783&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.645917,44.562783
Meribel,France,223.24 km,Aug Apr Jul,8,1,1,1,3,Jul:0 Apr:0 Aug:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.55137%2045.37005&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.55137,45.37005
L'Eclose,France,31.89 km,May Jul Apr Nov Jun Aug,8,0,0,0,1,May:0 Jul:0 Aug:0 Apr:0 Jun:0 Nov:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.064367%2045.087067&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.064367,45.087067
Mont Guillaume,France,120.74 km,May Jun Apr Jan Jul,8,0,1,2,4,May:0 Jun:0 Jan:0 Apr:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.432333%2044.5685&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.432333,44.5685
Col du Joly,France,11.84 km,May Oct Jun,8,0,0,0,0,Sep:0 Aug:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.67042%2045.7869&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.67042,45.7869
Belvédère ...,France,107.31 km,Jan,7,0,1,1,2,Apr:0 Jan:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.599653%2047.072692&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.599653,47.072692
Torgon,France,67.7 km,Sep,7,0,0,2,2,Oct:0 Nov:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.823933%2046.309617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.823933,46.309617
St. André,France,55.97 km,Sep Aug,6,0,0,1,4,May:0 Sep:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.41563%2043.99427&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.41563,43.99427
