site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Col Vert,France,272.82 km,Jul Jun Aug May,86,19,66,75,81,Jul:0 May:0 Jun:0 Aug:0 Sep:0 Mar:0 Apr:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.598618%2045.047895&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.598618,45.047895
Col des Aravis,France,227.14 km,Jul May Jun Aug Sep,85,5,25,51,77,Jun:1 Aug:0 May:0 Sep:0 Jul:0 Oct:0 Apr:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.48282%2045.87942&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.48282,45.87942
Signes,France,105.52 km,May Jul Aug Oct Jun Feb Jan Dec Sep Apr Mar,84,0,1,3,7,Aug:1 Oct:0 Jul:0 May:0 Sep:0 Jun:0 Dec:0 Apr:0 Mar:0 Feb:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.87325%2043.30223&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.87325,43.30223
Rabou,France,129.65 km,Aug May Jun Feb Sep Jul Jan Apr Mar,81,0,1,4,15,Sep:0 Jun:0 Feb:0 Apr:0 Mar:0 Aug:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.019217%2044.5678&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.019217,44.5678
Mévouillon,France,41.46 km,Jul Aug Apr May Jun Sep,78,0,0,0,3,Jul:1 Aug:1 Sep:0 Jun:0 Apr:0 May:0 Mar:0 Oct:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.47322%2044.22522&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.47322,44.22522
Col du Banchet,France,127.72 km,Mar Jul Jun May Feb Apr Aug,73,0,2,10,31,May:0 Mar:0 Apr:0 Jul:0 Jun:0 Aug:0 Feb:0 Oct:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.731617%2045.5667&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.731617,45.5667
Le banchet,France,109.06 km,Apr Mar May Aug,73,0,2,10,31,May:0 Mar:0 Apr:0 Jul:0 Jun:0 Aug:0 Feb:0 Oct:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.73073%2045.5662&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.73073,45.5662
Le Bouant,France,41.23 km,Apr Sep Mar Jul Jun May Oct Jan Feb Aug,69,0,0,0,9,Apr:1 Sep:0 Mar:0 May:0 Jun:0 Oct:0 Jul:0 Aug:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.83925%2046.1612&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.83925,46.1612
Prarion,France,35.32 km,Aug Jul,66,0,0,0,9,Aug:2 Jul:1 Jun:0 Sep:0 Mar:0 Oct:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.743667%2045.878383&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.743667,45.878383
Montaud,France,44.58 km,Sep May Jun Jul Aug,64,0,0,0,11,May:1 Aug:0 Jul:0 Jun:0 Sep:0 Mar:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.574862%2045.244693&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.574862,45.244693
Sorgia,France,95.61 km,Sep Jun Jul Aug May Oct Nov Dec Mar Jan,63,0,0,10,18,Sep:1 Jun:0 Jul:0 Aug:0 May:0 Oct:0 Dec:0 Nov:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.85568%2046.13778&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.85568,46.13778
St Vincent L...,France,156.98 km,Oct Sep Aug Apr,63,0,1,6,19,Aug:0 Sep:0 Jul:0 Jun:0 Jan:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.21327%2044.4951&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.21327,44.4951
Allevard,France,88.96 km,Sep Mar Aug Jul Jan Dec Feb May,57,0,0,11,31,Aug:0 Jul:0 Dec:0 Mar:0 Jan:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.147562%2045.385525&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.147562,45.385525
"Eybaudia, Al...",France,65.24 km,Jun,57,0,0,11,29,May:0 Jun:0 Sep:0 Aug:0 Jul:0 Apr:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.37678%2045.6068&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.37678,45.6068
Le Belvédère,France,36.71 km,Aug May Sep Jun Jul Apr Oct,56,0,0,0,11,May:0 Aug:0 Jul:0 Jun:0 Apr:0 Sep:0 Mar:0 Oct:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.593667%2045.089467&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.593667,45.089467
St. Marcel,France,281.23 km,Apr May,55,11,46,52,54,Apr:0 May:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.96038%2045.44493&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.96038,45.44493
Aurel,France,27.16 km,Aug May Jul,55,0,1,8,15,Sep:0 Aug:0 Jul:0 May:0 Apr:0 Jun:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.44125%2044.603383&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.44125,44.603383
La Flégère,France,305.04 km,Jul,54,5,10,16,33,Jul:0 Aug:0 Sep:0 Jun:0 Apr:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.87432%2045.96843&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.87432,45.96843
Aiguines,France,82.49 km,Jul Aug Sep May Jun Oct Mar,51,0,0,8,19,Jul:1 Aug:0 Jun:0 Sep:0 Mar:0 May:0 Oct:0 Apr:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.25357%2043.7696&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.25357,43.7696
Col d'Izoard,France,214.51 km,Nov Oct,50,1,4,17,37,Oct:0 Nov:0 Sep:0 Jul:0 Jun:0 Aug:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.7231%2044.81407&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.7231,44.81407
Doussard,France,198.93 km,Jul,50,0,28,37,40,Jul:1 Jun:0 Apr:0 Aug:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.22347%2045.77977&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.22347,45.77977
Le Morclan,France,197.02 km,Jul Aug Oct,49,0,5,10,36,Jul:0 Aug:0 Oct:0 Nov:0 Sep:0 Feb:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.857317%2046.27655&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.857317,46.27655
Plan de la B...,France,303.24 km,Jun,47,15,36,39,42,Jun:1 Jul:0 May:0 Aug:0 Sep:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.76362%2045.64862&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.76362,45.64862
Mont Blanc,France,91.14 km,Jun,46,0,0,8,31,Aug:0 Sep:0 Jun:0 Oct:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.864392%2045.832312&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.864392,45.832312
Fourneby,France,289.1 km,Jun May Apr Mar Aug Sep,44,3,21,34,43,May:0 Aug:0 Jun:0 Mar:0 Apr:0 Oct:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.892692%2043.827562&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.892692,43.827562
