site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Smolnik,Slovenia,49.49 km,Aug Oct Jun Sep May Apr Mar Jul Nov Dec,47,0,0,0,8,Aug:1 Oct:0 Jun:0 Sep:0 May:0 Apr:0 Mar:0 Dec:0 Nov:0,15,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.28757%2046.07998&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.28757,46.07998
Konjice,Slovenia,17.63 km,Jul Aug May Sep Jun Oct Mar Apr,45,0,1,2,7,Sep:0 Jun:0 Apr:0 May:0 Mar:0 Aug:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.3408%2046.3337&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.3408,46.3337
Konjiška gora,Slovenia,106.49 km,Sep Jun,45,0,1,2,7,Sep:0 Jun:0 Apr:0 May:0 Mar:0 Aug:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.34657%2046.33462&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.34657,46.33462
Potoška gora,Slovenia,31.44 km,Sep Apr Oct Jan Nov Dec Jun Feb Aug Jul Mar May,44,0,0,0,4,Sep:0 Oct:0 Dec:0 Jun:0 Apr:0 Aug:0 Nov:0 Jul:0 Feb:0 Jan:0 May:0 Mar:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.45475%2046.31227&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.45475,46.31227
Slivnica,Slovenia,133.1 km,Jul Apr,39,0,4,20,27,Apr:0 Jul:0 May:0 Jun:0 Mar:0 Sep:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.4064%2045.78842&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.4064,45.78842
Mittagskogel,Slovenia,39.23 km,Aug Jul Jun Sep May Oct Dec,39,0,0,0,2,Jul:0 Aug:0 Jun:0 Oct:0 Sep:0 Dec:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.95268%2046.50655&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.95268,46.50655
Kranjska Gora,Slovenia,113.22 km,May Aug Apr Jun Oct Sep Jul,34,0,2,8,16,May:0 Apr:0 Sep:0 Jun:0 Aug:0 Oct:0 Jul:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.79555%2046.50408&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.79555,46.50408
Smuk,Slovenia,111.07 km,Apr Jul Jun Sep Mar May Aug Feb,33,0,3,17,29,Apr:0 Sep:0 Aug:0 Mar:0 Jul:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.1804%2045.6614&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.1804,45.6614
Gore,Slovenia,32.05 km,Feb May Oct Mar Sep Jul Jun Apr,32,0,0,0,4,Apr:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.0482%2045.9987&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.0482,45.9987
Studor,Slovenia,113.81 km,Jun,31,0,1,2,3,Aug:0 Jun:0 Dec:0 Apr:0 Sep:0 Mar:0 Oct:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.90018%2046.29533&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.90018,46.29533
Čaven,Slovenia,122.51 km,Dec Jul May Oct Jun Aug Nov Apr,31,0,3,8,15,Dec:0 May:0 Apr:0 Jul:0 Nov:0 Oct:0 Aug:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.8586%2045.9289&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.8586,45.9289
Vitranc,Slovenia,179.96 km,Jul Jun Aug May,29,0,3,12,21,Jun:0 Aug:0 Jul:0 May:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.761767%2046.476617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.761767,46.476617
Zavrh,Slovenia,66.84 km,Jul Mar Aug May Jun Apr Oct Sep,24,0,0,4,17,Aug:0 Jul:0 Apr:0 Mar:0 Jun:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.3507%2045.9075&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.3507,45.9075
Pernice,Slovenia,28.79 km,Mar Oct Aug Apr Jun Nov,21,0,0,0,1,Oct:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.1077%2046.6158&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.1077,46.6158
Rahtel,Slovenia,16.3 km,Apr Mar Jun Aug May Feb Oct,20,0,0,0,0,Apr:0 Mar:0 Jun:0 Oct:0 Aug:0 May:0 Feb:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.07628%2046.52028&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.07628,46.52028
Golte,Slovenia,76.03 km,Jun,17,0,0,1,4,Jul:0 Jun:0 Apr:0 Nov:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.9208%2046.37033&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.9208,46.37033
"Golte, lover...",Slovenia,22.93 km,Apr Jul Sep,17,0,0,1,4,Jul:0 Jun:0 Apr:0 Nov:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.9238%2046.3696&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.9238,46.3696
Krasji Vrh-K...,Slovenia,31.22 km,Aug,16,0,0,1,8,Apr:0 Jul:0 Aug:0 Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.6229%2046.2806&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.6229,46.2806
Slajka,Slovenia,18.93 km,Apr Feb Oct Aug Dec Jul,14,0,0,0,0,Apr:0 Aug:0 Oct:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.104%2046.1153&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.104,46.1153
Strmca,Slovenia,9.29 km,May Jun,12,0,0,0,0,Jan:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.2092%2045.8345&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.2092,45.8345
Strmec,Slovenia,4.82 km,Oct Jan,12,0,0,0,0,Jan:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.205283%2045.837467&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.205283,45.837467
Goljak,Slovenia,60.79 km,Sep Oct Aug Jul Apr,11,0,0,2,8,Oct:0 Sep:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.397%2045.5181&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.397,45.5181
Dobrča,Slovenia,129.0 km,Apr Jul Aug May Sep Nov,10,0,2,3,3,Sep:0 Aug:0 Jul:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.2625%2046.3714&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.2625,46.3714
Zusem,Slovenia,65.91 km,Apr Jun Oct,10,0,0,5,6,Apr:0 Jun:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.4944%2046.1554&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.4944,46.1554
Kucelj,Slovenia,39.29 km,Jun Aug Mar Feb,8,0,0,0,3,Aug:0 Mar:0 Feb:0 Jun:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.82472%2045.92873&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.82472,45.92873
Sv. Planina,Slovenia,26.09 km,May Jun Mar Aug,7,0,0,0,2,May:0 Jun:0 Aug:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.01833%2046.17978&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.01833,46.17978
Glem,Slovenia,15.32 km,Jul Feb Aug Oct,7,0,0,0,0,Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.7883%2045.4928&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.7883,45.4928
Slevica,Slovenia,33.58 km,Jun,6,0,0,0,5,Jun:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.29788%2046.03493&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.29788,46.03493
Stari vrh,Slovenia,115.65 km,Jun Apr Aug,5,0,1,3,3,Apr:0 Jun:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.18028%2046.16995&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.18028,46.16995
