site,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Val Louron,66.89 km,Jul Jun Aug,15,0,0,2,4,Oct:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.45617%2042.77408&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.45617,42.77408
Santa Orosia,26.01 km,Aug Jun Nov,15,0,2,3,6,Aug:0 Jun:0 Dec:0 Sep:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.29215%2042.51947&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.29215,42.51947
Santa orosia,11.46 km,Aug Jan Dec,15,0,2,3,6,Aug:0 Jun:0 Dec:0 Sep:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.29218%2042.51942&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.29218,42.51942
"Santa Orosia,ES",148.42 km,Jun Feb,15,0,2,3,6,Aug:0 Jun:0 Dec:0 Sep:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.29075%2042.518733&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.29075,42.518733
Vilamur,15.44 km,Aug,15,0,0,0,1,Aug:0 Jun:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.16395%2042.39262&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.16395,42.39262
santa orosia,50.84 km,Sep,15,0,2,3,6,Aug:0 Jun:0 Dec:0 Sep:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.29093%2042.51857&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.29093,42.51857
Cap de Pales,7.68 km,Oct,15,0,0,2,4,Oct:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.45417%2042.77152&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.45417,42.77152
Oô,4.98 km,Feb,15,0,1,2,4,Sep:0 May:0 Jun:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.49055%2042.79953&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.49055,42.79953
Oô 600,2.49 km,Sep,15,0,1,2,4,Sep:0 May:0 Jun:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.49057%2042.79945&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.49057,42.79945
unknown,16.07 km,Jun,14,0,0,0,0,Jun:0 Dec:0 Oct:0 Aug:0 Jan:0 Nov:0 May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.2189%2042.36287&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.2189,42.36287
Tierz,6.68 km,Jun Jan,14,0,0,0,0,Dec:0 Sep:0 Jan:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.33702%2042.13092&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.33702,42.13092
Sant Gervàs,134.88 km,Sep Oct Jul Feb Jun Aug May,13,0,2,7,12,Aug:0 May:0 Feb:0 Oct:0 Sep:0 Jul:0 Jun:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.84495%2042.31337&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.84495,42.31337
Brocà,82.02 km,Oct Jun May,13,0,0,3,6,Jun:0 Oct:0 Jul:0 Aug:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.88925%2042.25727&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.88925,42.25727
El Xiringuito,5.42 km,May,13,0,0,0,1,May:0 Aug:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.97377%2042.22137&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.97377,42.22137
Calbinyà,50.28 km,Aug Jun,13,0,0,5,7,Jun:0 Jul:0 Aug:0 Sep:0 Feb:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.47365%2042.378817&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.47365,42.378817
Bergueda,13.15 km,Jun Jul,13,0,0,3,6,Jun:0 Oct:0 Jul:0 Aug:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.89232%2042.25598&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.89232,42.25598
Calvinya,83.37 km,Jun,13,0,0,5,7,Jun:0 Jul:0 Aug:0 Sep:0 Feb:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.47365%2042.3788&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.47365,42.3788
Cambre d'aze,4.68 km,Nov,13,0,0,1,1,Oct:0 Jun:0 Feb:0 Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.11708%2042.4597&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.11708,42.4597
Cambre d´Azze,4.03 km,Nov,13,0,0,1,1,Oct:0 Jun:0 Feb:0 Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.12017%2042.45675&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.12017,42.45675
cambredaze,3.94 km,Nov,13,0,0,1,1,Oct:0 Jun:0 Feb:0 Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.12%2042.45568&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.12,42.45568
"Oroel,ES",60.46 km,Jun Sep,12,0,0,1,6,Sep:0 Jun:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.542817%2042.520083&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.542817,42.520083
Cambre d'Aze,78.37 km,Oct,12,0,0,1,1,Oct:0 Jun:0 Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.1229%2042.45437&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.1229,42.45437
Arrout,91.7 km,Apr,11,0,0,6,11,Apr:0 Mar:0 May:0 Feb:0 Aug:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.014642%2042.943397&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.014642,42.943397
Aneto,130.07 km,Mar May Jul Jun Feb,11,0,4,5,8,Mar:0 Oct:0 Sep:0 Jul:0 Jun:0 May:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.73138%2042.55458&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.73138,42.55458
Tiacuto,45.53 km,Mar,11,0,0,0,1,Mar:0 Oct:0 May:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.41125%2042.27045&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.41125,42.27045
Turbon,22.01 km,Aug Sep,11,0,0,1,7,Jun:0 Aug:0 Jul:0 Dec:0 Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.50035%2042.41552&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.50035,42.41552
Vilas,26.05 km,Sep May,11,0,0,0,4,Sep:0 May:0 Aug:0 Jul:0 Jun:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.52463%2042.41667&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.52463,42.41667
Coth de Baretja,71.54 km,May,11,0,0,2,4,Nov:0 Sep:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.64067%2042.75483&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.64067,42.75483
talltendre,52.75 km,May,11,0,0,2,6,Apr:0 May:0 Dec:0 Jul:0 Aug:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.78182%2042.38887&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.78182,42.38887
Bellver,26.67 km,Apr,11,0,0,2,6,Apr:0 May:0 Dec:0 Jul:0 Aug:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.78348%2042.3882&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.78348,42.3882
Coll de Comiols,14.51 km,Oct Mar Feb Nov Sep May,10,0,0,0,0,Mar:0 Oct:0 Nov:0 Sep:0 May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.09978%2042.07&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.09978,42.07
Quéribus Nord,48.1 km,Aug Jul Oct Sep Mar Jun,10,0,0,0,7,Aug:0 Mar:0 Oct:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.62387%2042.84645&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.62387,42.84645
Uishera,41.93 km,Sep,10,0,0,0,5,Sep:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.7426%2042.76645&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.7426,42.76645
"Cal Roger,ES",35.56 km,Aug,10,0,0,2,5,Aug:0 Jun:0 Sep:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.412317%2042.396117&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.412317,42.396117
Rubies,9.36 km,Jan,10,0,0,1,1,Dec:0 Jan:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.93167%2042.0222&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.93167,42.0222
Mirapallars,68.38 km,Aug Jan,10,0,2,3,5,Jan:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.94893%2042.0235&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.94893,42.0235
Taüll,13.28 km,Nov,9,0,0,1,4,Nov:0 Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.054317%2042.595983&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.054317,42.595983
Quéribus Sud,69.22 km,Aug Sep Jun Apr Jul May,9,0,0,5,8,Jun:0 Sep:0 Aug:0 Apr:0 Jul:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.60498%2042.83478&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.60498,42.83478
Décollage,10.4 km,Dec,9,0,0,0,0,Dec:0 Jul:0 Nov:0 Mar:0 Jan:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.076267%2042.887483&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.076267,42.887483
Rocaforte,52.27 km,Jul Sep Mar May Apr,9,0,0,1,1,Jul:0 Apr:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.296005%2042.591337&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.296005,42.591337
Tuca del Mon,10.32 km,Aug Sep Jul,9,0,0,0,1,Jul:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.493083%2042.611433&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.493083,42.611433
Port de Lers,20.02 km,Sep,9,0,0,4,9,Aug:0 Sep:0 May:0 Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.37653%2042.79413&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.37653,42.79413
Tuca del mon,10.19 km,Jul Aug,9,0,0,0,1,Jul:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.49327%2042.61163&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.49327,42.61163
turbon,7.29 km,Dec,9,0,0,0,5,Jul:0 Jun:0 Dec:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.48973%2042.41318&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.48973,42.41318
Tuca de Mon,31.41 km,Jul,9,0,0,0,1,Jul:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.49328%2042.61142&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.49328,42.61142
Torbon,33.83 km,Jun,9,0,0,0,5,Jul:0 Jun:0 Dec:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.492617%2042.4159&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.492617,42.4159
?plana del t...,28.36 km,May,9,0,0,0,5,Jul:0 Jun:0 Dec:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.49342%2042.41595&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.49342,42.41595
Plana del tu...,17.63 km,May,9,0,0,0,5,Jul:0 Jun:0 Dec:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.49307%2042.41588&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.49307,42.41588
Costa Pubilla,12.03 km,Feb Dec,9,0,0,1,4,Oct:0 Mar:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.08267%2042.27977&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.08267,42.27977
Col de la Core,105.49 km,Aug Oct May Jan,8,0,1,4,5,Oct:0 Aug:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.108867%2042.863167&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.108867,42.863167
Beixalís,8.59 km,Feb,8,0,0,0,0,Feb:0 Jan:0 Dec:0 Aug:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.5536%2042.53058&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.5536,42.53058
Monte de Peña,13.81 km,Mar Apr May,8,0,1,1,2,Apr:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.28627%2042.4984&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.28627,42.4984
Peña,151.98 km,Jul,8,0,1,1,2,Apr:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.28617%2042.49843&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.28617,42.49843
Picalvo,31.69 km,Jul Sep,8,0,0,0,3,Nov:0 Aug:0 Jul:0 Sep:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.56418%2042.59757&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.56418,42.59757
Cogulla,33.53 km,Aug,8,0,0,0,1,Aug:0 Sep:0 Feb:0 Jan:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.54225%2042.55267&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.54225,42.55267
Rincón del ...,8.87 km,Sep May,8,0,0,0,1,Aug:0 Sep:0 Feb:0 Jan:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.5357%2042.55742&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.5357,42.55742
Corronco de ...,69.22 km,Feb,8,0,2,6,7,Aug:0 Jun:0 Mar:0 Feb:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.79427%2042.4429&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.79427,42.4429
Puig Lluent,7.16 km,Dec,7,0,0,0,1,Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.95343%2042.18795&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.95343,42.18795
Corronco,81.0 km,Feb Mar,7,0,2,6,6,Aug:0 Mar:0 Feb:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.79477%2042.44475&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.79477,42.44475
Castanesa,76.68 km,Feb,7,0,0,3,6,Feb:0 Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.66965%2042.50422&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.66965,42.50422
Luz Ardiden,7.13 km,Jul,7,0,0,0,0,Jul:0 Jun:0 Oct:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.0591%2042.87875&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.0591,42.87875
La Covil,13.8 km,Oct Nov Dec,7,0,0,1,1,Oct:0 Jun:0 Mar:0 Dec:0 Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.09735%2042.28137&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.09735,42.28137
Bastiments,15.68 km,Dec Oct Nov,7,0,0,0,0,Oct:0 Dec:0 Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.23365%2042.42592&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.23365,42.42592
Casós,21.58 km,Oct,7,0,0,0,2,Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.74087%2042.49487&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.74087,42.49487
Els Altars,11.83 km,Nov Oct,7,0,0,0,1,Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.95343%2042.1879&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.95343,42.1879
Alano,13.24 km,Jul,7,1,1,3,4,Jul:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.78875%2042.82402&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.78875,42.82402
puigmal,10.97 km,Nov,7,0,0,0,0,Dec:0 Nov:0 Mar:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.1227%2042.37182&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.1227,42.37182
Tossa Plana ...,21.02 km,Nov Dec Jul,6,0,0,0,1,Dec:0 Nov:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.6557%2042.4676&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.6557,42.4676
Isuerre,51.32 km,Sep,6,0,0,1,4,Sep:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.06068%2042.51162&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.06068,42.51162
Baqueira,12.17 km,Nov Oct,5,0,0,0,2,Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.9366%2042.730533&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.9366,42.730533
Balandrau,9.17 km,Dec Jan,5,0,0,0,0,Jun:0 Jan:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.22237%2042.35725&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.22237,42.35725
Despegue,6.22 km,Jan,5,0,0,0,0,Jan:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.670017%2042.280383&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.670017,42.280383
Bassegoda,38.89 km,Sep,5,0,0,0,1,Sep:0 Mar:0 Jan:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.62887%2042.3121&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.62887,42.3121
Hount Blanque,40.44 km,Dec Jun Mar Sep,5,0,0,0,1,Dec:0 Jun:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.16098%2042.97998&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.16098,42.97998
mont hourmigué,13.11 km,Jul,5,0,0,0,0,Jul:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.60437%2042.92977&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.60437,42.92977
Cazavet,32.75 km,May,5,0,0,0,2,May:0 Oct:0 Apr:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.03538%2042.9864&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.03538,42.9864
Roies de Cardet,68.24 km,Jul,5,0,0,2,2,Aug:0 Jul:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.77918%2042.51215&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.77918,42.51215
Soum de Matt...,14.51 km,Aug,5,0,0,1,1,Aug:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.26417%2042.81443&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.26417,42.81443
Soum de matte,13.39 km,Aug Jul,5,0,0,1,1,Aug:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.26437%2042.81428&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.26437,42.81428
Bordas caste...,6.1 km,Aug,5,0,0,0,0,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.43937%2042.55177&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.43937,42.55177
Cardet,60.86 km,Aug,5,0,0,2,2,Aug:0 Jul:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.78212%2042.51047&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.78212,42.51047
Espot. Creu ...,72.55 km,Jun May,5,0,0,1,3,Jun:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.08627%2042.53923&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.08627,42.53923
L'Orri,80.64 km,Aug,5,0,0,2,3,Aug:0 Jun:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.21498%2042.4076&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.21498,42.4076
Pic de l'Orri,33.36 km,Aug,5,0,0,2,3,Aug:0 Dec:0 Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.20407%2042.4111&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.20407,42.4111
Pic de L'Orr...,8.16 km,Dec,5,0,0,2,3,Aug:0 Jun:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.20883%2042.40775&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.20883,42.40775
Estanils Miglos,7.72 km,Mar Dec Nov Jan,4,0,0,0,0,Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.62102%2042.78347&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.62102,42.78347
Takeoff,3.0 km,Apr,4,0,0,0,1,Apr:0 Oct:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.970633%2042.7141&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.970633,42.7141
Isaba,150.2 km,Jun Jul,4,0,1,3,3,Jul:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.90882%2042.83915&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.90882,42.83915
Raca,3.1 km,Jan Dec,4,0,0,0,1,Dec:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.50565%2042.79602&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.50565,42.79602
bertren,3.14 km,Feb Dec Jan,4,0,0,0,0,Dec:0 Feb:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.60872%2043.0082&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.60872,43.0082
Serra del Cadí,6.2 km,Jan,4,0,0,0,1,Jan:0 Sep:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.59772%2042.2856&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.59772,42.2856
fontalba,25.94 km,Nov,4,0,0,0,2,Nov:0 Jul:0 Jan:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.15225%2042.3671&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.15225,42.3671
Candanchu,44.28 km,Jul,4,0,0,0,1,Dec:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.5082%2042.788883&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.5082,42.788883
Fontalba,22.25 km,Jan,4,0,0,0,2,Nov:0 Jul:0 Jan:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.15315%2042.36707&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.15315,42.36707
Collarada,17.25 km,Jun,4,0,0,0,0,Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.48697%2042.7056&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.48697,42.7056
Oturia,4.9 km,Aug May,4,0,1,1,1,Sep:0 Aug:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.26923%2042.5342&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.26923,42.5342
corona,14.17 km,Jul,4,0,0,1,2,Jul:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.095817%2042.53195&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.095817,42.53195
Es Antenes,8.18 km,Jul,4,0,0,0,0,Sep:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.653%2042.75205&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.653,42.75205
tuixent lavansa,27.21 km,Feb,4,0,0,0,1,Feb:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.52213%2042.21318&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.52213,42.21318
castelar nug,25.8 km,Jul,4,0,0,0,2,Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.01432%2042.29888&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.01432,42.29888
Fontlletera,34.05 km,Sep Oct,4,0,0,0,1,Oct:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.2357%2042.37655&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.2357,42.37655
Tregurà,4.41 km,Jul,4,0,0,0,0,Jun:0 Apr:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.27355%2042.35103&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.27355,42.35103
Loarre,96.52 km,Jun Apr,3,0,0,1,2,Jun:0 Apr:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.61618%2042.3417&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.61618,42.3417
Peña Monta�...,52.54 km,Oct Sep Mar,3,0,0,1,3,Sep:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.291467%2042.465667&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.291467,42.465667
Castell de Mur,67.65 km,May Apr,3,0,0,1,1,May:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.86862%2042.10375&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.86862,42.10375
