site,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Tourmalet,93.29 km,Aug Sep Jul Jun Oct,51,0,0,5,14,Aug:1 Sep:1 Jul:1 Jun:0 Oct:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.1425%2042.916117&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.1425,42.916117
Puigllançada,52.65 km,Dec,51,0,0,1,8,Dec:1 Mar:0 Jul:0 Aug:0 May:0 Apr:0 Nov:0 Feb:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.934967%2042.29965&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.934967,42.29965
Izaga,40.44 km,Jun,50,0,0,2,16,Aug:0 Dec:0 Sep:0 Oct:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.430133%2042.712483&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.430133,42.712483
Peña Izaga,59.05 km,May,50,0,0,2,16,Aug:0 Dec:0 Sep:0 Oct:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.42962%2042.71125&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.42962,42.71125
X,25.32 km,Jun,50,0,0,2,16,Aug:0 Dec:0 Sep:0 Oct:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.43315%2042.71323&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.43315,42.71323
izaga,3.47 km,Aug,50,0,0,2,16,Aug:0 Dec:0 Sep:0 Oct:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.429917%2042.712167&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.429917,42.712167
Batère,111.75 km,Apr Jun Sep May Aug Oct Mar Jul Nov,46,0,2,10,19,Apr:0 Sep:0 Jun:0 Oct:0 Aug:0 Jul:0 Mar:0 Nov:0 Feb:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.5489%2042.503567&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.5489,42.503567
Comanegra,40.17 km,Dec Oct Sep Mar Nov Jan Jun Feb,46,0,0,0,6,Dec:0 Oct:0 Nov:0 Mar:0 Jan:0 Sep:0 Jun:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.525883%2042.332183&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.525883,42.332183
batére,12.2 km,Feb,46,0,2,10,19,Apr:0 Sep:0 Jun:0 Oct:0 Aug:0 Jul:0 Mar:0 Nov:0 Feb:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.54233%2042.5067&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.54233,42.5067
Port de l'Hers,68.34 km,May Aug Jun Sep,44,0,0,1,13,Aug:1 Sep:0 Jun:0 May:0 Apr:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.39327%2042.8126&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.39327,42.8126
Peyrepertuse,47.97 km,Jun Sep Oct Mar Aug Apr Nov Jul May Dec,39,0,0,0,11,Sep:0 Mar:0 Oct:0 Nov:0 Aug:0 Apr:0 Dec:0 May:0 Jun:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.5598%2042.86922&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.5598,42.86922
Coll de la C...,178.97 km,Oct Aug Mar May Apr Jul Dec Jun,36,0,4,20,25,Oct:0 Aug:0 Dec:0 Jul:0 May:0 Jun:0 Apr:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.99255%2042.29755&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.99255,42.29755
Céret,49.5 km,Sep Jun Oct Apr Feb Mar Jul Aug Nov May,36,0,0,0,16,Sep:0 Jun:0 Apr:0 Jul:0 Nov:0 Oct:0 Jan:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.76468%2042.45008&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.76468,42.45008
Blancas,84.51 km,Apr,35,0,0,25,32,Apr:0 Jul:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.581817%2042.706183&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.581817,42.706183
Puigsacalm,31.88 km,May Dec Jan Nov Sep Jun Jul Apr,35,0,0,0,5,Dec:0 Sep:0 Nov:0 May:0 Jan:0 Jul:0 Jun:0 Apr:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.398633%2042.130967&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.398633,42.130967
Idoate,4.68 km,Jun Jul Mar Nov Aug Jan,33,0,0,0,1,Jul:0 Aug:0 Oct:0 Jan:0 Jun:0 May:0 Mar:0 Apr:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.47953%2042.77543&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.47953,42.77543
Hecho remirez,45.14 km,Mar,33,0,3,9,20,Aug:0 Jun:0 Dec:0 Mar:0 Jul:0 May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.708833%2042.75635&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.708833,42.75635
Heicho,84.38 km,Aug,32,0,3,9,20,Jun:0 Aug:0 Dec:0 Mar:0 Jul:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.71283%2042.75287&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.71283,42.75287
Coll de Pal,132.27 km,Jul Mar Apr Aug,31,0,3,6,14,Jul:0 Oct:0 Aug:0 Jun:0 Mar:0 Dec:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.91677%2042.29943&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.91677,42.29943
Coll de pal,27.63 km,Jul Oct,31,0,3,6,14,Jul:0 Oct:0 Aug:0 Jun:0 Mar:0 Dec:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.9175%2042.29908&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.9175,42.29908
Guardador Beret,20.12 km,Sep,31,0,0,4,10,Jun:0 Oct:0 May:0 Apr:0 Jul:0 Jan:0 Nov:0 Sep:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.92518%2042.70928&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.92518,42.70928
COLL DE PAL,89.32 km,Apr,31,0,3,6,14,Jul:0 Oct:0 Aug:0 Jun:0 Mar:0 Dec:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.91668%2042.3008&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.91668,42.3008
Santa Fe,122.11 km,Jun Oct Feb Mar Nov Dec Aug Sep May,30,0,1,9,17,Jun:0 Feb:0 Oct:0 Sep:0 Dec:0 Aug:0 Nov:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.30003%2042.207958&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.30003,42.207958
coll de pal,19.53 km,Aug Apr,30,0,3,6,14,Jul:0 Oct:0 Aug:0 Jun:0 Mar:0 Dec:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.913917%2042.300533&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.913917,42.300533
