site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Ciavaniss,Italy,100.65 km,Jul Aug Sep May Jun Oct Apr Mar,272,0,1,5,36,Aug:3 Jul:3 Sep:2 Jun:1 May:1 Oct:1 Mar:0 Apr:0 Feb:0 Nov:0 Dec:0 Jan:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.35678%2045.37885&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.35678,45.37885
Rodeneck,Italy,89.81 km,Apr Jul Aug May Jun Mar Sep,269,0,0,5,36,Apr:1 Jun:1 May:1 Jul:1 Aug:0 Mar:0 Oct:0 Nov:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.712%2046.7896&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.712,46.7896
Hirzer,Italy,54.78 km,Apr,258,0,0,4,51,Apr:3 May:1 Jun:1 Jul:0 Aug:0 Sep:0 Mar:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.22822%2046.73337&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.22822,46.73337
Bevera,Italy,79.49 km,May Sep Mar Aug Jul Feb Jun Oct Apr Nov Dec,249,0,0,5,66,Mar:2 Sep:2 Feb:1 Dec:1 Aug:1 Jul:1 Oct:1 Nov:1 May:1 Jun:1 Jan:1 Apr:0,16,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.56725%2043.8309&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.56725,43.8309
Muthöfe,Italy,169.83 km,Apr May Mar,239,0,28,70,155,Apr:3 May:2 Aug:2 Jun:1 Mar:1 Jul:1 Oct:0 Sep:0 Feb:0 Nov:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.13293%2046.70047&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.13293,46.70047
Bronzone,Italy,147.84 km,May Aug Apr Jul Mar,237,0,15,83,160,Apr:1 May:1 Aug:1 Jul:1 Mar:1 Sep:0 Nov:0 Dec:0 Jun:0 Jan:0 Feb:0 Oct:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.99555%2045.69237&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.99555,45.69237
Gemona,Italy,175.47 km,Apr Mar Aug May Jul Jun Sep Feb Oct,235,0,25,75,145,Jun:2 Mar:2 Jul:1 Aug:1 May:1 Apr:1 Sep:1 Feb:1 Dec:0 Oct:0 Jan:0 Nov:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.16043%2046.2735&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.16043,46.2735
Tremalzo,Italy,125.49 km,Jun Jul Mar May Apr Aug Sep Oct,232,0,7,72,172,Aug:3 Jul:2 Jun:2 May:2 Apr:1 Mar:1 Sep:1 Oct:0 Feb:0 Nov:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.69175%2045.83623&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.69175,45.83623
Prato Valentino,Italy,138.99 km,Jun Jan May Nov Oct Feb Mar Sep Aug Jul Dec,232,0,3,8,41,Nov:2 Jun:1 Mar:1 Feb:1 Oct:1 Dec:1 May:1 Aug:1 Jan:1 Jul:0 Sep:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.044517%2046.207467&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.044517,46.207467
Boves,Italy,95.17 km,May Jun Apr Aug Jul,221,0,0,7,19,Aug:4 Jun:4 May:3 Jul:2 Sep:2 Apr:1 Oct:0,16,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.55347%2044.29868&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.55347,44.29868
